"Node [str]";"Relationship [str]";"Node role [str]";"Recursive [str]"
"Glyph";"HAS_LABEL";"Source";"Yes"
"Glyph";"HAS_BBOX";"Source";"No"
"Glyph";"IS_IN_COMPARTMENT";"Source";"Yes"
"Glyph";"HAS_STATE_VARIABLE";"Source";"Yes"
"Glyph";"HAS_UNIT_OF_INFORMATION";"Source";"Yes"
"Glyph";"HAS_SUBUNIT";"Source";"Yes"
"Glyph";"HAS_OUTCOME";"Source";"Yes"
"Glyph";"HAS_TERMINAL";"Source";"Yes"
"Glyph";"HAS_EXISTENCE";"Source";"Yes"
"Glyph";"HAS_LOCATION";"Source";"Yes"
"Glyph (if not AuxilliaryUnit)";"HAS_GLYPH";"Target";"No"
"StoichiometricProcess";"HAS_PORT";"Source";"No"
"StoichiometricProcess (if complete_process_modulations is True)";"HAS_TARGET";"Target";"Yes"
"LogicalOperator";"HAS_PORT";"Source";"Yes"
"EquivalenceOperator";"HAS_PORT";"Source";"Yes"
"AuxilliaryUnit";"HAS_GLYPH";"Target";"Yes"
"Port";"HAS_PORT";"Target";"Yes"
"Port";"HAS_SOURCE";"Target";"Yes"
"Port";"HAS_TARGET";"Target";"Yes"
"Bbox";"HAS_BBOX";"Target";"Yes"
"Start";"HAS_START";"Target";"Yes"
"Next";"HAS_NEXT";"Target";"Yes"
"End";"HAS_END";"Target";"Yes"
"Label";"HAS_LABEL";"Target";"Yes"
"Arc";"HAS_PORT";"Source";"No"
"Arc";"HAS_OUTCOME";"Source";"Yes"
"Arc";"HAS_ARC";"Target";"No"
"Arc";"HAS_CARDINALITY";"Source";"Yes"
"Arc";"HAS_SOURCE";"Source";"Yes"
"Arc";"HAS_TARGET";"Source";"Yes"
"Arc";"HAS_START";"Source";"No"
"Arc";"HAS_END";"Source";"No"
"Arc";"HAS_NEXT";"Source";"No"
"Arcgroup";"HAS_ARC";"Source";"Yes"
"Arcgroup";"HAS_ARCGROUP";"Target";"No"
"Map";"HAS_GLYPH";"Source";"Yes"
"Map";"HAS_ARC";"Source";"Yes"
"Map";"HAS_ARCGROUP";"Source";"Yes"
